method,base,mae
banker,0.25,38.969919999999995
round,0.25,38.969919999999995
floor,0.05,38.973670000000006
floor,0.01,38.974500000000006
ceil,0.05,38.97467000000001
ceil,0.01,38.97470000000001
round,0.01,38.97482000000001
banker,0.01,38.97482000000001
round,0.05,38.97542000000001
banker,0.05,38.97542000000001
banker,1.0,38.97611
round,1.0,38.97611
round,0.5,38.976169999999996
banker,0.5,38.976169999999996
floor,0.25,38.97642
floor,0.5,38.97667
floor,1.0,38.97873
ceil,0.25,38.98142
ceil,0.5,38.98711
ceil,1.0,38.99903
